"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"C1";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
"C2";"47u";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"16";"C";
"F1";"";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"41";"R";
"H1";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"7";"";
"H2";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"7";"";
"H3";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"7";"";
"H4";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"7";"";
"J2";"XT60PW-F";"XT60PW-F";"AMASS_XT60PW-F";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J3";"XT60PW-F";"XT60PW-F";"AMASS_XT60PW-F";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J4";"XT60PW-F";"XT60PW-F";"AMASS_XT60PW-F";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J5";"XT60PW-F";"XT60PW-F";"AMASS_XT60PW-F";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J6";"MA02-2";"MA02-2";"MA02-2W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J7";"XT90PW-M";"XT90PW-M";"XT90PWM";"Socket; DC supply; XT90; male; PIN: 2; on PCBs; THT; Colour: yellow";"";"";"Socket";" DC supply";" XT90";" male";" PIN: 2";" on PCBs";" THT";" Colour: yellow";"10.3mm";"Amass";"XT90PW-M";"";
"J8";"8P8C-LED";"8P8C-LED";"8P8C-LED";"generic 8P8C connector with two LED's";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";
"Q1";"BUZ11BH";"BUZ11BH";"TO220BH";"N-CHANNEL MOS FET";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";
"R2";"100R";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"R3";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"R9";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"70";"R";
"R10";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"70";"R";
"R12";"120";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"70";"R";
"R28";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"70";"R";
"R30";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"70";"R";
"U$1";"897-1AH-C-001";"897-1AH-C-001";"897-1AH-C-001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"897-1AH-C-001";"897-1AH-C-001";"897-1AH-C-001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U4";"TLP184";"TLP184";"11-4M1S";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
